time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0.0,0.100000001,12.0,24.22217369,0.087469511,-79.78239570000002,40.45804724,269.3324017,0.001772306,0.005609551,-0.255525738,0.966784358,-0.012825926,-0.005644709,0.010474564,-0.0008251889999999999,0.0014074279999999998,0.006815216999999999,0.004257701,-0.120404978,-9.811136699
0.2,0.100000001,3.0,24.22718048,0.095421284,-79.78239587,40.45804729,269.332056,0.001767616,0.005606697,-0.255530089,0.966783345,-0.015409501,-0.001635618,0.010136867,1.24e-06,-0.002861936,0.002033538,0.006174664,-0.116396593,-9.810391763
0.3,0.100000001,352.0,24.22592926,0.095421284,-79.78239589,40.4580473,269.3330812,0.001767616,0.005606697,-0.255530089,0.966783345,-0.016513727,-0.001821677,0.009980725,-7.31e-06,-0.001485685,-0.0008742989999999999,0.002696266,-0.128591638,-9.809439837000001
0.5,0.100000001,354.0,24.22467804,0.095421284,-79.78239603,40.45804731,269.33464810000004,0.001775031,0.00561423,-0.255523652,0.966784894,-0.007775039,-0.005263036,0.01509068,0.001255224,-0.000347319,0.002443233,0.002024007,-0.12827085400000002,-9.810159044
0.6,0.100000001,359.0,24.21090508,0.079517737,-79.78239604,40.45804731,269.3361778,0.001775031,0.00561423,-0.255523652,0.966784894,-0.009060158,-0.005173516,0.015142142,-0.002383463,0.000181737,-0.006424722,0.008270765,-0.119889629,-9.812124877999999
0.81,0.100000001,350.0,24.22342491,0.095421284,-79.78239617,40.45804735,269.335937,0.00177404,0.005614494,-0.255522519,0.966785192,-0.008598091,-0.00358808,0.013628142,-0.004059605,0.001028723,-0.002546404,0.005758231,-0.12422734,-9.811599798
0.9,0.200000003,354.0,24.21841621,0.095421284,-79.78239618,40.45804735,269.3373308,0.00177404,0.005614494,-0.255522519,0.966785192,-0.008570227,-0.003143273,0.014001519,0.000481865,-0.003512588,0.003304436,0.006092723,-0.115744812,-9.811655931
1.1,0.200000003,352.0,24.21340942,0.087469511,-79.7823963,40.45804738,269.3340816,0.0017733820000000004,0.00561697,-0.255522013,0.966785312,-0.006398486,-0.001244302,0.006902317,-0.003008329,-0.001127758,-0.001499851,0.008397809000000001,-0.114766298,-9.812431272000001
1.2,0.200000003,358.0,24.22968483,0.095421284,-79.78239641,40.45804741,269.3324332,0.0017737629999999996,0.005617787,-0.255519837,0.966785908,-0.004376835,-0.000661347,0.008408337,0.001629055,0.00266217,0.000726055,0.003208411,-0.128756091,-9.809760264
1.4,0.200000003,5.0,24.21966934,0.103373058,-79.78239642,40.45804741,269.33415410000003,0.0017737629999999996,0.005617787,-0.255519837,0.966785908,-0.005589301999999999,-0.0002422,0.008638831,-0.000365404,0.002419015,0.005545465,0.004759678,-0.122761754,-9.80952696
1.5,0.200000003,14.0,24.22718048,0.103373058,-79.78239657,40.45804744,269.3322739,0.001777346,0.005607035,-0.255510509,0.966788411,-0.012703852,-0.004583177,0.008956421,0.000533183,0.00158982,-0.006249706,0.007140838,-0.123051492,-9.811536647999999
1.7,0.200000003,13.0,24.22467804,0.095421284,-79.7823967,40.45804746,269.3313469,0.001778617,0.005606295,-0.255507886,0.966789067,-0.012492244,-0.004657143,0.009308194,0.0016585920000000002,4.04e-05,-0.004678405,0.004121587,-0.126368234,-9.809977196
1.8,0.300000012,26.0,24.22217369,0.095421284,-79.78239671,40.45804746,269.3323102,0.001778617,0.005606295,-0.255507886,0.966789067,-0.012777263,-0.004265114,0.009637658,-0.000583891,-0.003660625,0.001447038,0.00786971,-0.113424353,-9.812600842
2.0,0.300000012,33.0,24.22592926,0.095421284,-79.78239681,40.45804748,269.3313374,0.00177743,0.0056141690000000005,-0.255511284,0.966788113,-0.006946175,-0.000896658,0.009958745,-0.002174523,-0.002386048,-0.003733424,0.008738421,-0.116456226,-9.813400741
2.1,0.400000006,44.0,24.21966934,0.087469511,-79.78239682,40.45804749,269.3323416,0.00177743,0.0056141690000000005,-0.255511284,0.966788113,-0.00706305,-0.000626143,0.010046349,0.000629782,0.000707833,0.00641983,0.003626632,-0.125058969,-9.80986259
2.3,0.400000006,42.0,24.20965195,0.095421284,-79.78239693,40.4580475,269.3313241,0.001780445,0.005610021999999999,-0.255504727,0.966789961,-0.00953432,-0.002830108,0.010241527,-0.000676065,0.00264019,0.006093301999999999,0.0043784570000000005,-0.11990273,-9.809539239
2.4,0.5,48.0,24.22467804,0.095421284,-79.78239695,40.4580475,269.3323588,0.001780445,0.005610021999999999,-0.255504727,0.966789961,-0.011036481,-0.00297521,0.010225324,-0.001038093,0.003549908,-0.004954652,0.004435143,-0.12583325,-9.811433737
2.61,0.5,52.0,24.22592926,0.079517737,-79.78239703,40.4580475,269.33115380000004,0.001787041,0.005616772,-0.25550136,0.966790795,-0.005049052,-0.005957269,0.010215778,-0.001671645,0.001974951,-0.005480701,0.002125899,-0.128288368,-9.810479472
2.7,0.600000024,54.0,24.21841621,0.095421284,-79.78239711,40.45804751,269.32919780000003,0.001786687,0.005613609,-0.25549987,0.966791153,-0.00706082,-0.005316043,0.010310964,-0.002927051,0.000623886,-0.000868972,0.006412536999999999,-0.115042826,-9.812171656
2.9,0.600000024,48.0,24.21966934,0.103373058,-79.78239714,40.45804751,269.3313064,0.001786687,0.005613609,-0.25549987,0.966791153,-0.008769461,-0.005236836,0.01070851,-0.005138368,-0.000763239,-0.005899959000000001,0.007978763,-0.117183519,-9.813835773
3.0,0.600000024,49.0,24.22217369,0.095421284,-79.78239722,40.45804752,269.3305754,0.001786858,0.005612317,-0.25549820100000004,0.96679163,-0.009629906,-0.005061495,0.014379403,0.0014274720000000002,0.0008570930000000001,0.003252224,0.00261085,-0.127021514,-9.811073549
3.21,0.600000024,47.0,24.22342491,0.095421284,-79.78239729,40.45804754,269.3303279,0.00178139,0.005615586,-0.255505472,0.966789722,-0.008977393,0.0006718710000000001,0.012735301,0.000907698,-0.002066558,0.00498091,0.004401297,-0.119798412,-9.810025728
3.3,0.600000024,40.0,24.22718048,0.087469511,-79.7823973,40.45804754,269.3316059,0.00178139,0.005615586,-0.255505472,0.966789722,-0.010550169,0.0005684430000000001,0.012603597,-0.000722393,-1.4800000000000002e-05,-0.00252039,0.005804691999999999,-0.126464896,-9.810443219
